user_name,user_followers,vid_id,vid_caption,vid_postTime,vid_scrapeTime,vid_duration,vid_nview,vid_nlike,vid_ncomment,vid_nshare,vid_nsave,vid_hashtags,vid_url,music_id,music_title,music_nused,music_authorName,music_originality
binhanniee,3.2M,7482633171310316818,Tưởng gơn Trung,2025-03-17 04:38:17,2025-05-15 15:01:15,00:15,,907.5K,16.5K,24.7K,51.6K,"binhan, fyp",https://www.tiktok.com/@binhanniee/video/7482633171310316818,7.479832301561155e+18,原声 - Pumsai Sai,32K videos,Pumsai Sai,False
saothannong.net,206.7K,7471247208604618002,8 năm ăn keo cau và cái kết đắng của chàng trai 18 tuổi,2025-02-14 12:14:56,2025-05-15 15:01:30,00:20,14.7M,260.6K,5882,65K,11.2K,keocaukhotrungquoc,https://www.tiktok.com/@saothannong.net/video/7471247208604618002,7.47124725554001e+18,nhạc nền - Sao Thần Nông,22 videos,Sao Thần Nông,False
sungjinho253,7599,7498006020707454216,đẹp ko,2025-04-27 14:52:47,2025-05-15 15:01:44,00:22,3.7M,222.6K,14.7K,57.5K,14.7K,"toiyeuvietnam, abcxyz, xuhuongtiktok, viral, fyp, vietnam",https://www.tiktok.com/@sungjinho253/video/7498006020707454216,7.460187964715781e+18,rằng em mãi ở bên,55.7K videos,Harrix ơi,False
haiyennhehe,54.3K,7491645846182776072,tàn canh chuyến này rui 😭,2025-04-10 11:32:04,2025-05-15 15:01:58,00:19,1.3M,64.4K,339,2722,2797,"lustchocolate, lustchocolatevn, activelust, lustivate, fyp, fyphuong",https://www.tiktok.com/@haiyennhehe/video/7491645846182776072,7.491645905138306e+18,nhạc nền - Nye👾,2 videos,Em Xôi Vãi Nình,False
ngoclinh.pnl,1.3M,7501705569321995538,Mẹ k biết nhảy đâu,2025-05-07 14:08:56,2025-05-15 15:02:14,00:15,2.6M,87.6K,409,680,2153,,https://www.tiktok.com/@ngoclinh.pnl/video/7501705569321995538,,nhạc nền - Hoàng Sangg - Sangg Học FPT,,,
king.memes8686,35.5K,7501952986604670238,,2025-05-08 06:09:02,2025-05-15 15:02:25,00:10,1.6M,24.4K,471,10.4K,1935,"xuhuong, meme, funnyvideos, haihuocvuinhon",https://www.tiktok.com/@king.memes8686/video/7501952986604670238,6.969610706656382e+18,Originalton,138.6K videos,☁︎J̌ P☁︎,False
fukudoo12,278K,7474218919637601591,Fusion terkuat Boboiboy,2025-02-22 12:26:41,2025-05-15 15:02:40,01:35,3M,226K,2304,6373,22.9K,"boboiboy, boboiboygalaxy, boboiboyedit, monsta, kartun, jedagjedug, xyzbca, fyp, fypシ゚, viralllllll",https://www.tiktok.com/@fukudoo12/video/7474218919637601591,,Butterfly - SMiLE.dk,,,
hhy2107,1908,7494507026471472391,Có ngày nào lớp đc yên ổn ko😇,2025-04-18 04:34:54,2025-05-15 15:02:51,00:05,673K,95.1K,854,14.1K,7306,"xhhhhhhhhhhhhhhhhhhhhhhh, viral, fyp, banbe, xh",https://www.tiktok.com/@hhy2107/video/7494507026471472391,7.494507043169046e+18,nhạc nền - 𝓗ả𝓲 𝓨ế𝓷 🤍,1 videos,𝓗ả𝓲 𝓨ế𝓷 🤍,False
kamlycutino,36.3K,7483875429242227989,“ nếu 50 năm sau…”,2025-03-20 12:58:53,2025-05-15 15:03:05,00:20,5.7M,342.9K,1562,18.6K,21.6K,"whenlifegivesyoutangerines, iu, parkbogum, khicuocdoichobanquaquyt, kly95, kamly🕊️",https://www.tiktok.com/@kamlycutino/video/7483875429242227989,7.48387546913422e+18,nhạc nền - ᴋᴀᴍʟʏ,513 videos,ᴋᴀᴍʟʏ,False
dailysmile007,1.1M,7479278267841711365,MAY 5 SECONDS KA PARA NGUMITI Parte 609  #MASAYA #NGITI #mikhalim #dailysmile007 #tiktokshop.philippin #foryou #fyp #fypシ,2025-03-08 03:39:33,2025-05-15 15:03:22,00:00,,163.8K,857,17.8K,10.9K,,https://www.tiktok.com/@dailysmile007/video/7479278267841711365,7.482595561221148e+18,nhạc nền - Daily Smile,36 videos,Daily Smile,False
